iPad8,10 : iPad Pro 11 inch 4th Gen (WiFi+Cellular) ; Apple A12Z Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
iPad8,11 : iPad Pro 12.9 inch 4th Gen (WiFi) ; Apple A12Z Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad8,12 : iPad Pro 12.9 inch 4th Gen (WiFi+Cellular) ; Apple A12Z Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad11,1 : iPad mini 5th Gen (WiFi) ; Apple A12 Bionic ; Apple G11P ; 7.9" 2048x1536 LED-backlit IPS Display
iPad11,2 : iPad mini 5th Gen ; Apple A12 Bionic ; Apple G11P ; 7.9" 2048x1536 LED-backlit IPS Display
iPad11,3 : iPad Air 3rd Gen (WiFi) ; Apple A12 Bionic ; Apple G11P ; 10.5" 2224x1668 LED-backlit IPS Display
iPad11,4 : iPad Air 3rd Gen ; Apple A12 Bionic ; Apple G11P ; 10.5" 2224x1668 LED-backlit IPS Display
iPad11,6 : iPad 8th Gen (WiFi) ; Apple A12 Bionic ; Apple G11P ; 10.2" 2160x1620 LED-backlit IPS Display
iPad11,7 : iPad 8th Gen (WiFi+Cellular) ; Apple A12 Bionic ; Apple G11P ; 10.2" 2160x1620 LED-backlit IPS Display
iPad13,1 : iPad Air 4th Gen (WiFi) ; Apple A14 Bionic ; Apple GPU ; 10.9" 2360x1640 LED-backlit IPS Display
iPad13,2 : iPad Air 4th Gen (WiFi+Cellular) ; Apple A14 Bionic ; Apple GPU ; 10.9" 2360x1640 LED-backlit IPS Display
iPad13,4 : iPad Pro 11 inch 3rd Gen ;  ;  ; 
iPad13,5 : iPad Pro 11 inch 3rd Gen ;  ;  ; 
iPad13,6 : iPad Pro 11 inch 3rd Gen ;  ;  ; 
iPad13,7 : iPad Pro 11 inch 3rd Gen ;  ;  ; 
iPad13,8 : iPad Pro 12.9 inch 5th Gen ;  ;  ; 
iPad13,9 : iPad Pro 12.9 inch 5th Gen ;  ;  ; 
iPad13,10 : iPad Pro 12.9 inch 5th Gen ;  ;  ; 
iPad13,11 : iPad Pro 12.9 inch 5th Gen ;  ;  ; 
